muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
1.48,5.93,7.36,8.32,2.10253e-06,-3.79701e-06,-5.99336e-05,-3.70938e-05,-4.99707e-05,1.51000e-06,3.83738e-06,-1.08254e-06,1.21652e-05,-2.00843e-05,-3.03330e-07,-2.33027e-06,1.08069e-06,2.03222e-07,6.37752e-06,-1.83577e-05,-1.48340e-05,-7.87646e-08,1.85993e-06,4.58112e-08,5.25840e-07,-4.05092e-08,-1.29075e-05,-2.48513e-06,-4.89518e-06,-5.31283e-06,1.80368e-05,1.17789e-05,1.66051e-06,-6.99304e-06,-2.97173e-06,3.09106e-06,5.77823e-09,2.24565e-10
1.24,8.53,3.09,6.77,3.60973e-06,-5.78388e-06,-1.69011e-04,-2.15545e-05,-1.36751e-04,7.80914e-06,1.85274e-06,-5.22324e-07,2.94197e-05,-7.48959e-05,-1.60734e-06,-2.92146e-05,1.71179e-06,9.69708e-07,-2.15833e-06,-5.88116e-06,-2.40384e-05,-3.15213e-07,7.51923e-06,1.40515e-07,-6.98195e-06,-1.48557e-07,-1.02427e-05,-4.43631e-06,-1.82861e-05,-2.32623e-06,1.92162e-05,1.99247e-05,4.36977e-06,1.06951e-05,-8.72692e-07,-1.54972e-05,7.39785e-09,2.13196e-10
0.60,3.32,2.00,7.89,1.04864e-05,-2.46234e-05,-4.75652e-04,-1.29260e-04,-4.12036e-04,1.89390e-05,1.22180e-05,-3.44419e-06,8.54143e-05,-2.13359e-04,-4.28797e-06,-6.68932e-05,7.06822e-06,2.51920e-06,6.38664e-06,-6.13540e-05,-8.39042e-05,-8.57355e-07,2.10551e-05,4.33587e-07,-1.41326e-05,-4.30320e-07,-4.91479e-05,-1.32402e-05,-5.23521e-05,-1.80562e-05,9.99876e-05,7.68990e-05,1.50124e-05,1.62962e-05,-8.65323e-06,-1.45509e-05,3.66090e-08,3.03467e-10
0.85,5.84,7.99,5.73,2.45170e-06,-1.22404e-05,-6.54063e-05,-4.53158e-05,-9.81625e-05,1.31845e-06,3.95000e-06,-1.11408e-06,1.18254e-05,-4.74630e-05,-6.86422e-07,-3.40478e-06,3.42269e-06,1.78599e-07,5.35401e-06,-4.94660e-05,-1.55034e-05,-6.35207e-08,1.86118e-06,3.70325e-08,1.24176e-06,-3.29272e-08,-1.57974e-05,-3.61919e-06,-5.24499e-06,-1.96075e-05,1.74301e-05,9.66644e-06,2.91439e-06,-1.00177e-05,-2.12714e-06,1.56794e-06,1.75550e-09,1.55771e-10
0.56,2.26,3.27,7.79,1.17354e-05,-2.64942e-05,-3.65381e-04,-2.55076e-04,-3.15065e-04,7.88979e-06,2.63870e-05,-7.44054e-06,7.49552e-05,-1.21610e-04,-1.58340e-06,-4.79007e-06,7.48591e-06,1.02682e-06,4.59555e-05,-1.36737e-04,-9.52024e-05,-4.08889e-07,9.65552e-06,2.43316e-07,6.49680e-06,-2.16963e-07,-8.58311e-05,-1.41114e-05,-2.67001e-05,-4.02415e-05,1.08998e-04,8.72077e-05,1.00988e-05,-4.19922e-05,-2.05185e-05,3.92210e-05,2.78721e-08,4.45081e-10
1.36,9.14,6.27,8.87,1.45387e-06,-4.81323e-06,-5.35309e-05,-1.84187e-05,-5.66386e-05,1.94122e-06,1.61554e-06,-4.55572e-07,9.48451e-06,-2.94467e-05,-5.40735e-07,-7.41940e-06,1.36412e-06,2.68554e-07,6.21933e-07,-1.40263e-05,-1.00369e-05,-8.98002e-08,2.46640e-06,4.80985e-08,-1.31246e-06,-4.61646e-08,-6.93462e-06,-1.96442e-06,-6.18858e-06,-4.91868e-06,1.21757e-05,7.41780e-06,2.20030e-06,-6.29378e-07,-8.87271e-07,-2.33810e-06,2.74385e-09,1.35839e-10
1.40,2.54,5.60,9.25,8.26398e-06,-2.56225e-06,-2.10471e-04,-1.85898e-04,-1.00121e-04,3.13357e-06,2.08577e-05,-5.88492e-06,4.89533e-05,-8.92419e-06,1.95527e-07,2.96381e-06,1.05531e-06,3.64452e-07,3.54915e-05,-4.89096e-05,-5.41498e-05,-2.08333e-07,2.97064e-06,1.21165e-07,4.43677e-06,-9.47438e-08,-4.69689e-05,-8.61307e-06,-9.11063e-06,-1.04737e-05,4.56483e-05,5.22307e-05,1.98103e-06,-4.13432e-05,-9.17749e-06,3.05651e-05,3.45783e-08,6.60716e-10
0.61,8.44,3.07,9.36,3.40358e-06,-2.42687e-05,-1.89453e-04,-3.77847e-05,-2.48236e-04,7.87933e-06,1.89625e-06,-5.34659e-07,2.96783e-05,-1.42069e-04,-2.65423e-06,-4.22892e-05,6.94578e-06,1.09403e-06,-1.08007e-05,-5.82501e-05,-2.72065e-05,-3.42069e-07,1.04070e-05,1.73879e-07,-9.14816e-06,-1.76015e-07,-1.53243e-05,-5.93468e-06,-2.60125e-05,-2.35811e-05,1.28927e-05,2.35701e-05,1.03375e-05,1.40437e-05,4.58179e-06,-1.38873e-05,1.97348e-09,9.09187e-11
0.82,8.82,5.59,3.27,3.53934e-06,-1.36219e-05,-7.26690e-05,-2.70929e-05,-1.15754e-04,2.47340e-06,1.73473e-06,-4.89154e-07,1.19021e-05,-6.31448e-05,-1.09304e-06,-1.40874e-05,3.87332e-06,3.62850e-07,-2.01608e-06,-4.16490e-05,-1.24504e-05,-1.15967e-07,3.62560e-06,6.29405e-08,-1.86475e-06,-5.61982e-08,-1.18555e-05,-5.07766e-06,-9.28886e-06,-1.82600e-05,1.22245e-05,-2.66723e-06,4.23591e-06,-1.13592e-05,1.36143e-06,-1.55238e-05,1.36799e-09,1.63640e-10
1.03,6.79,3.32,5.45,3.93362e-06,-8.36753e-06,-1.60231e-04,-3.32077e-05,-1.42113e-04,6.82765e-06,2.92838e-06,-8.25685e-07,2.82153e-05,-7.64063e-05,-1.56208e-06,-2.62811e-05,2.41773e-06,9.04173e-07,-8.03038e-07,-1.64282e-05,-2.60444e-05,-2.98085e-07,7.56935e-06,1.45415e-07,-5.89434e-06,-1.46170e-07,-1.39705e-05,-4.97018e-06,-1.85240e-05,-5.65541e-06,2.67381e-05,1.95768e-05,5.21397e-06,5.00169e-06,-1.62365e-06,-1.28106e-05,8.71407e-09,2.41548e-10
0.56,5.57,4.48,9.18,2.95007e-06,-2.92274e-05,-1.33956e-04,-6.34273e-05,-2.32300e-04,3.83502e-06,4.34491e-06,-1.22515e-06,2.07969e-05,-1.25411e-04,-2.05326e-06,-2.10504e-05,8.23733e-06,5.37687e-07,-1.24639e-06,-9.90219e-05,-2.39172e-05,-1.75507e-07,5.49908e-06,9.87357e-08,-1.97928e-06,-9.49883e-08,-2.17145e-05,-5.72874e-06,-1.47756e-05,-4.09333e-05,2.68337e-05,2.01394e-05,8.04660e-06,-1.63950e-06,1.83070e-06,1.41994e-07,2.57295e-09,1.13131e-10
0.76,8.12,4.38,5.36,2.74522e-06,-1.58205e-05,-1.05875e-04,-3.17168e-05,-1.48340e-04,3.93788e-06,2.04445e-06,-5.76483e-07,1.70135e-05,-8.22311e-05,-1.47249e-06,-2.05372e-05,4.49589e-06,5.56701e-07,-3.69784e-06,-4.44314e-05,-1.71465e-05,-1.77400e-07,5.42324e-06,9.44700e-08,-3.72693e-06,-9.14400e-08,-1.23317e-05,-4.39242e-06,-1.37135e-05,-1.80498e-05,1.55830e-05,1.05709e-05,5.85370e-06,3.21032e-07,1.52768e-06,-8.88436e-06,2.05666e-09,1.41435e-10
