muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
1.12,1.52,5.42,6.84,2.2e-05,-1.3e-06,-5.0e-04,-5.1e-04,-1.9e-04,4.7e-06,5.8e-05,-1.6e-05,1.2e-04,2.9e-05,2.0e-06,1.6e-05,1.5e-06,4.0e-07,8.9e-05,-1.1e-04,-1.2e-04,-3.0e-07,3.5e-06,1.7e-07,1.2e-05,-1.3e-07,-1.0e-04,-2.2e-05,-1.4e-05,-2.6e-05,6.9e-05,1.2e-04,2.5e-06,-1.2e-04,-1.8e-05,8.1e-05,4.5e-08,1.2e-09
0.81,8.55,7.24,4.80,2.1e-06,-1.4e-05,-5.5e-05,-2.8e-05,-1.1e-04,1.5e-06,1.8e-06,-5.2e-07,8.6e-06,-5.7e-05,-9.2e-07,-9.2e-06,3.9e-06,2.2e-07,-4.8e-07,-4.8e-05,-1.0e-05,-7.0e-08,2.2e-06,4.0e-08,-5.5e-07,-3.6e-08,-1.1e-05,-3.5e-06,-6.0e-06,-2.1e-05,1.1e-05,2.6e-06,3.4e-06,-6.7e-06,1.2e-06,-5.5e-06,9.2e-10,1.1e-10
1.37,2.02,6.49,7.25,1.2e-05,-1.5e-06,-2.9e-04,-2.9e-04,-1.2e-04,3.0e-06,3.3e-05,-9.3e-06,7.1e-05,1.1e-05,9.8e-07,9.1e-06,1.1e-06,2.8e-07,5.3e-05,-6.9e-05,-7.3e-05,-1.9e-07,2.4e-06,1.1e-07,7.3e-06,-8.3e-08,-6.3e-05,-1.3e-05,-8.9e-06,-1.6e-05,4.5e-05,7.1e-05,1.7e-06,-7.1e-05,-1.1e-05,4.7e-05,2.9e-08,8.9e-10
0.52,8.52,1.06,1.56,3.1e-05,-3.4e-05,-1.3e-03,-4.8e-05,-1.0e-03,6.6e-05,1.9e-06,-5.2e-07,2.3e-04,-5.8e-04,-1.3e-05,-2.5e-04,1.0e-05,7.5e-06,-3.9e-05,1.6e-05,-1.5e-04,-2.3e-06,5.6e-05,9.0e-07,-6.2e-05,-1.0e-06,-5.0e-05,-3.8e-05,-1.4e-04,-8.9e-06,-4.2e-06,9.0e-05,2.9e-05,8.0e-05,9.0e-06,-2.0e-04,3.6e-09,6.9e-10
1.12,2.67,2.49,6.72,1.1e-05,-5.4e-06,-3.8e-04,-1.7e-04,-2.3e-04,1.3e-05,1.9e-05,-5.3e-06,7.7e-05,-8.9e-05,-2.2e-06,-3.0e-05,1.8e-06,1.6e-06,3.0e-05,-4.0e-05,-7.5e-05,-7.0e-07,1.1e-05,3.5e-07,-3.7e-06,-3.2e-07,-5.4e-05,-1.2e-05,-2.8e-05,-7.6e-06,9.4e-05,7.1e-05,4.9e-06,-1.8e-05,-1.1e-05,8.5e-06,1.2e-07,6.6e-10
1.35,7.65,1.54,2.35,1.5e-05,-4.9e-06,-6.2e-04,-2.6e-05,-4.2e-04,3.1e-05,2.3e-06,-6.5e-07,1.1e-04,-2.1e-04,-4.7e-06,-8.1e-05,1.8e-06,2.7e-06,-2.0e-06,9.0e-06,-5.7e-05,-8.8e-07,1.6e-05,3.0e-07,-1.8e-05,-3.6e-07,-2.4e-05,-1.7e-05,-3.8e-05,-1.8e-06,3.0e-05,3.0e-05,4.8e-06,1.9e-05,-1.1e-06,-8.8e-05,2.3e-08,7.3e-10
0.83,2.40,4.35,2.47,1.3e-05,-1.1e-05,-2.7e-04,-2.2e-04,-1.8e-04,4.9e-06,2.3e-05,-6.6e-06,6.0e-05,-4.6e-05,-3.4e-07,2.1e-06,3.3e-06,6.3e-07,4.4e-05,-8.3e-05,-7.5e-05,-2.8e-07,5.8e-06,1.7e-07,7.0e-06,-1.3e-07,-7.2e-05,-1.5e-05,-1.6e-05,-2.3e-05,7.3e-05,4.7e-05,4.8e-06,-6.5e-05,-1.6e-05,1.4e-05,3.1e-08,7.0e-10
1.41,4.28,3.34,8.97,4.9e-06,-3.9e-06,-1.9e-04,-6.8e-05,-1.3e-04,6.9e-06,7.4e-06,-2.1e-06,3.6e-05,-5.5e-05,-1.3e-06,-1.8e-05,1.2e-06,8.8e-07,1.1e-05,-1.7e-05,-3.5e-05,-3.5e-07,6.2e-06,1.7e-07,-3.1e-06,-1.6e-07,-2.4e-05,-5.5e-06,-1.6e-05,-3.5e-06,4.5e-05,3.3e-05,3.2e-06,-2.7e-06,-5.0e-06,-6.1e-07,4.3e-08,3.8e-10
1.40,8.30,5.96,3.56,3.2e-06,-4.5e-06,-6.0e-05,-2.1e-05,-5.8e-05,2.2e-06,2.0e-06,-5.5e-07,1.1e-05,-2.9e-05,-5.5e-07,-8.1e-06,1.3e-06,3.1e-07,1.5e-06,-1.3e-05,-1.2e-05,-1.1e-07,2.8e-06,5.6e-08,-1.2e-06,-5.0e-08,-9.7e-06,-3.8e-06,-6.9e-06,-5.4e-06,1.4e-05,-9.1e-07,2.2e-06,-1.1e-05,-1.3e-06,-1.2e-05,4.1e-09,2.5e-10
1.17,5.48,1.57,1.86,1.8e-05,-6.3e-06,-6.2e-04,-4.6e-05,-4.3e-04,3.0e-05,4.5e-06,-1.3e-06,1.1e-04,-2.1e-04,-5.0e-06,-8.6e-05,2.2e-06,3.0e-06,7.4e-07,4.3e-06,-6.8e-05,-1.0e-06,1.8e-05,3.7e-07,-1.9e-05,-4.2e-07,-3.3e-05,-2.0e-05,-4.4e-05,-4.8e-06,5.1e-05,2.4e-05,6.2e-06,2.4e-06,-3.0e-06,-9.8e-05,4.6e-08,8.9e-10
0.88,4.46,5.26,8.22,3.6e-06,-1.1e-05,-1.2e-04,-6.9e-05,-1.2e-04,2.9e-06,6.8e-06,-1.9e-06,2.2e-05,-5.3e-05,-8.0e-07,-5.7e-06,3.1e-06,3.9e-07,1.0e-05,-4.7e-05,-2.8e-05,-1.4e-07,3.8e-06,8.4e-08,8.2e-07,-7.7e-08,-2.4e-05,-4.6e-06,-1.0e-05,-1.5e-05,3.4e-05,2.4e-05,4.1e-06,-1.0e-05,-5.2e-06,6.9e-06,7.3e-09,2.3e-10
0.78,8.83,7.35,6.92,1.5e-06,-1.5e-05,-5.5e-05,-2.8e-05,-1.1e-04,1.4e-06,1.7e-06,-4.9e-07,8.1e-06,-6.1e-05,-9.8e-07,-9.7e-06,4.3e-06,2.0e-07,-1.0e-06,-5.2e-05,-9.4e-06,-6.6e-08,2.1e-06,3.8e-08,-6.2e-07,-3.5e-08,-1.0e-05,-3.0e-06,-5.9e-06,-2.3e-05,9.8e-06,5.4e-06,3.6e-06,-3.3e-06,1.8e-06,-2.2e-06,7.4e-10,8.9e-11
0.55,5.38,2.50,7.49,5.8e-06,-3.0e-05,-2.9e-04,-6.8e-05,-3.4e-04,1.2e-05,4.7e-06,-1.3e-06,4.8e-05,-1.9e-04,-3.6e-06,-5.6e-05,8.7e-06,1.7e-06,-9.6e-06,-7.3e-05,-4.6e-05,-5.3e-07,1.5e-05,2.7e-07,-1.2e-05,-2.7e-07,-2.6e-05,-9.0e-06,-3.8e-05,-2.8e-05,3.9e-05,4.0e-05,1.4e-05,1.7e-05,1.8e-06,-1.7e-05,6.9e-09,1.5e-10
1.20,7.21,4.04,2.90,5.1e-06,-6.1e-06,-1.1e-04,-2.8e-05,-1.0e-04,4.7e-06,2.6e-06,-7.3e-07,2.1e-05,-5.2e-05,-1.1e-06,-1.8e-05,1.8e-06,6.4e-07,7.8e-07,-1.4e-05,-2.0e-05,-2.1e-07,5.4e-06,1.1e-07,-3.5e-06,-1.0e-07,-1.4e-05,-6.1e-06,-1.3e-05,-6.1e-06,2.2e-05,7.6e-07,3.6e-06,-1.2e-05,-1.7e-06,-2.2e-05,7.8e-09,3.4e-10
1.34,9.25,4.71,4.22,2.9e-06,-5.0e-06,-8.1e-05,-1.8e-05,-7.6e-05,3.4e-06,1.6e-06,-4.4e-07,1.5e-05,-4.1e-05,-8.2e-07,-1.4e-05,1.4e-06,4.6e-07,-4.7e-07,-1.1e-05,-1.4e-05,-1.5e-07,4.0e-06,7.5e-08,-2.9e-06,-7.3e-08,-8.5e-06,-3.6e-06,-9.8e-06,-4.3e-06,1.4e-05,4.4e-06,2.9e-06,-3.5e-06,-7.7e-07,-1.2e-05,4.1e-09,2.4e-10
0.98,7.57,5.52,8.76,1.9e-06,-9.3e-06,-7.4e-05,-2.9e-05,-9.2e-05,2.5e-06,2.4e-06,-6.6e-07,1.3e-05,-4.9e-05,-8.5e-07,-1.0e-05,2.6e-06,3.5e-07,4.5e-07,-2.9e-05,-1.4e-05,-1.2e-07,3.4e-06,6.4e-08,-1.6e-06,-6.1e-08,-1.0e-05,-2.8e-06,-8.6e-06,-1.1e-05,1.7e-05,1.1e-05,3.6e-06,-8.2e-07,-7.9e-07,-1.9e-06,2.8e-09,1.3e-10
1.12,1.51,7.09,9.03,2.1e-05,-1.3e-06,-4.9e-04,-5.2e-04,-1.8e-04,3.7e-06,5.9e-05,-1.7e-05,1.2e-04,3.7e-05,2.4e-06,2.1e-05,1.5e-06,2.3e-07,9.1e-05,-1.2e-04,-1.2e-04,-2.0e-07,2.2e-06,1.1e-07,1.3e-05,-8.1e-08,-1.0e-04,-2.2e-05,-1.1e-05,-2.8e-05,5.2e-05,1.2e-04,2.0e-06,-1.3e-04,-1.8e-05,8.5e-05,2.1e-08,1.1e-09
0.90,8.24,5.83,2.62,4.8e-06,-1.1e-05,-6.8e-05,-2.7e-05,-9.9e-05,2.3e-06,2.0e-06,-5.6e-07,1.2e-05,-5.2e-05,-9.1e-07,-1.2e-05,3.2e-06,3.5e-07,-4.5e-07,-3.4e-05,-1.3e-05,-1.1e-07,3.4e-06,6.0e-08,-1.3e-06,-5.1e-08,-1.3e-05,-6.2e-06,-8.7e-06,-1.6e-05,1.4e-05,-1.0e-05,3.6e-06,-2.0e-05,2.2e-07,-2.3e-05,1.9e-09,2.0e-10
1.10,7.72,6.81,2.60,4.7e-06,-7.4e-06,-5.6e-05,-2.6e-05,-7.0e-05,1.8e-06,2.3e-06,-6.4e-07,1.1e-05,-3.5e-05,-5.9e-07,-7.2e-06,2.1e-06,2.6e-07,1.8e-06,-2.5e-05,-1.2e-05,-8.8e-08,2.5e-06,4.8e-08,-3.6e-07,-3.9e-08,-1.3e-05,-5.8e-06,-6.6e-06,-1.1e-05,1.4e-05,-1.1e-05,2.5e-06,-2.2e-05,-1.1e-06,-2.1e-05,2.5e-09,2.2e-10
1.21,7.34,1.61,3.75,1.2e-05,-6.0e-06,-5.7e-04,-2.8e-05,-4.0e-04,2.9e-05,2.5e-06,-7.1e-07,1.0e-04,-2.0e-04,-4.6e-06,-8.2e-05,2.1e-06,2.7e-06,-3.3e-06,7.9e-06,-5.8e-05,-8.8e-07,1.7e-05,3.1e-07,-1.9e-05,-3.7e-07,-2.1e-05,-1.3e-05,-4.1e-05,-5.1e-09,3.2e-05,4.8e-05,6.0e-06,3.6e-05,-1.2e-06,-6.5e-05,2.0e-08,4.7e-10
1.46,6.00,3.88,8.53,3.2e-06,-3.9e-06,-1.3e-04,-3.6e-05,-9.5e-05,5.1e-06,3.7e-06,-1.1e-06,2.4e-05,-4.6e-05,-1.0e-06,-1.6e-05,1.2e-06,6.5e-07,4.2e-06,-1.1e-05,-2.3e-05,-2.4e-07,5.0e-06,1.2e-07,-3.1e-06,-1.1e-07,-1.4e-05,-3.7e-06,-1.2e-05,-2.7e-06,2.8e-05,2.0e-05,2.9e-06,1.4e-06,-2.9e-06,-4.4e-06,1.8e-08,2.7e-10
0.87,8.13,4.73,3.25,4.0e-06,-1.2e-05,-9.1e-05,-2.8e-05,-1.2e-04,3.4e-06,2.0e-06,-5.8e-07,1.6e-05,-6.4e-05,-1.2e-06,-1.7e-05,3.4e-06,4.9e-07,-1.9e-06,-3.3e-05,-1.6e-05,-1.6e-07,4.7e-06,8.4e-08,-2.8e-06,-7.7e-08,-1.3e-05,-5.4e-06,-1.2e-05,-1.4e-05,1.6e-05,3.3e-07,4.6e-06,-9.9e-06,4.1e-07,-1.7e-05,2.4e-09,2.1e-10
0.60,2.31,4.11,3.75,1.2e-05,-2.3e-05,-3.0e-04,-2.4e-04,-2.6e-04,5.3e-06,2.5e-05,-7.1e-06,6.5e-05,-9.1e-05,-9.1e-07,4.8e-06,6.5e-06,6.7e-07,4.7e-05,-1.3e-04,-8.5e-05,-2.8e-07,6.6e-06,1.7e-07,9.1e-06,-1.4e-07,-8.2e-05,-1.4e-05,-1.9e-05,-4.0e-05,8.6e-05,6.9e-05,7.5e-06,-5.4e-05,-1.9e-05,3.4e-05,1.9e-08,5.1e-10
0.82,9.11,5.93,3.11,3.6e-06,-1.3e-05,-6.7e-05,-2.6e-05,-1.1e-04,2.2e-06,1.6e-06,-4.6e-07,1.1e-05,-6.0e-05,-1.0e-06,-1.3e-05,3.8e-06,3.3e-07,-1.9e-06,-4.2e-05,-1.1e-05,-1.0e-07,3.3e-06,5.7e-08,-1.6e-06,-5.0e-08,-1.2e-05,-5.2e-06,-8.5e-06,-1.9e-05,1.1e-05,-5.1e-06,4.0e-06,-1.3e-05,1.5e-06,-1.7e-05,1.2e-09,1.6e-10
1.49,3.72,2.00,8.19,9.6e-06,-3.2e-06,-4.3e-04,-8.9e-05,-2.8e-04,1.9e-05,9.7e-06,-2.7e-06,8.0e-05,-1.2e-04,-3.4e-06,-4.6e-05,1.2e-06,2.0e-06,1.4e-05,-1.2e-05,-5.8e-05,-8.0e-07,1.1e-05,3.3e-07,-9.0e-06,-3.3e-07,-3.3e-05,-1.1e-05,-2.7e-05,-2.1e-06,6.8e-05,5.6e-05,3.2e-06,1.0e-05,-5.6e-06,-2.2e-05,1.4e-07,5.4e-10
0.75,1.15,6.90,2.52,4.0e-05,-5.8e-06,-8.3e-04,-9.1e-04,-3.2e-04,5.4e-06,1.0e-04,-2.9e-05,2.1e-04,6.0e-05,4.4e-06,4.6e-05,3.5e-06,2.8e-07,1.7e-04,-2.4e-04,-2.2e-04,-2.4e-07,3.3e-06,1.2e-07,2.9e-05,-9.1e-08,-2.0e-04,-4.1e-05,-1.7e-05,-5.9e-05,7.3e-05,2.0e-04,3.2e-06,-2.4e-04,-3.6e-05,1.4e-04,2.2e-08,1.5e-09
1.19,5.14,7.23,2.47,6.1e-06,-6.0e-06,-7.3e-05,-5.0e-05,-6.7e-05,1.7e-06,5.1e-06,-1.4e-06,1.6e-05,-2.6e-05,-3.6e-07,-2.6e-06,1.7e-06,2.4e-07,8.9e-06,-2.9e-05,-2.0e-05,-9.1e-08,2.3e-06,5.2e-08,1.5e-06,-4.0e-08,-2.1e-05,-7.0e-06,-6.3e-06,-1.1e-05,2.2e-05,-6.5e-06,2.1e-06,-3.2e-05,-4.0e-06,-1.7e-05,6.1e-09,3.3e-10
0.78,2.02,6.07,8.93,1.2e-05,-1.2e-05,-3.1e-04,-3.0e-04,-1.8e-04,3.2e-06,3.3e-05,-9.3e-06,7.2e-05,-2.9e-05,5.3e-07,1.9e-05,3.6e-06,3.1e-07,6.4e-05,-1.2e-04,-9.2e-05,-1.7e-07,3.0e-06,1.0e-07,1.3e-05,-8.5e-08,-9.0e-05,-1.3e-05,-1.1e-05,-3.1e-05,6.1e-05,8.8e-05,3.8e-06,-6.8e-05,-2.1e-05,6.0e-05,1.3e-08,6.1e-10
0.89,6.11,4.15,8.68,2.9e-06,-1.1e-05,-1.2e-04,-4.2e-05,-1.3e-04,4.4e-06,3.6e-06,-1.0e-06,2.1e-05,-6.9e-05,-1.3e-06,-1.7e-05,3.2e-06,6.1e-07,1.1e-06,-3.3e-05,-2.3e-05,-2.0e-07,5.6e-06,1.1e-07,-3.1e-06,-1.1e-07,-1.5e-05,-4.1e-06,-1.4e-05,-1.2e-05,2.7e-05,1.9e-05,5.1e-06,1.0e-06,-1.9e-06,-3.1e-06,6.0e-09,1.6e-10
0.53,1.40,3.85,5.62,2.6e-05,-2.6e-05,-6.6e-04,-6.3e-04,-4.0e-04,7.5e-06,6.9e-05,-1.9e-05,1.5e-04,-7.0e-05,8.6e-07,3.6e-05,7.9e-06,7.6e-07,1.3e-04,-2.5e-04,-2.0e-04,-4.1e-07,7.5e-06,2.4e-07,2.6e-05,-2.0e-07,-1.9e-04,-2.9e-05,-2.6e-05,-6.5e-05,1.4e-04,1.9e-04,8.9e-06,-1.4e-04,-4.4e-05,1.2e-04,3.2e-08,8.9e-10
1.20,7.27,2.67,7.77,4.5e-06,-6.1e-06,-2.2e-04,-2.8e-05,-1.7e-04,1.0e-05,2.5e-06,-7.2e-07,3.9e-05,-9.3e-05,-2.0e-06,-3.7e-05,1.8e-06,1.3e-06,-1.5e-06,-5.2e-06,-3.1e-05,-4.1e-07,9.3e-06,1.8e-07,-8.7e-06,-1.9e-07,-1.3e-05,-5.5e-06,-2.3e-05,-1.9e-06,2.7e-05,2.8e-05,5.0e-06,1.5e-05,-1.6e-06,-1.9e-05,1.3e-08,2.2e-10
1.01,1.32,2.64,5.29,3.1e-05,-1.2e-06,-8.0e-04,-6.8e-04,-3.4e-04,1.3e-05,7.7e-05,-2.2e-05,1.9e-04,-1.2e-05,-1.5e-07,-7.3e-06,2.0e-06,1.6e-06,1.1e-04,-1.3e-04,-1.7e-04,-1.0e-06,1.1e-05,5.4e-07,7.8e-06,-4.2e-07,-1.3e-04,-3.2e-05,-3.3e-05,-2.9e-05,1.5e-04,1.7e-04,4.5e-06,-1.5e-04,-2.2e-05,8.8e-05,2.8e-07,1.5e-09
1.28,2.71,4.71,7.84,7.8e-06,-3.8e-06,-2.1e-04,-1.7e-04,-1.1e-04,4.0e-06,1.8e-05,-5.2e-06,4.7e-05,-2.2e-05,-1.9e-07,-9.1e-07,1.3e-06,5.0e-07,3.2e-05,-4.7e-05,-5.4e-05,-2.6e-07,4.0e-06,1.5e-07,3.4e-06,-1.2e-07,-4.6e-05,-8.3e-06,-1.1e-05,-9.9e-06,5.3e-05,5.0e-05,2.6e-06,-3.4e-05,-9.5e-06,2.5e-05,4.1e-08,6.1e-10
1.18,7.46,5.15,7.33,2.2e-06,-6.4e-06,-7.9e-05,-2.7e-05,-8.0e-05,2.9e-06,2.4e-06,-6.8e-07,1.4e-05,-4.1e-05,-7.6e-07,-1.1e-05,1.8e-06,4.0e-07,1.3e-06,-1.9e-05,-1.5e-05,-1.3e-07,3.6e-06,7.1e-08,-1.9e-06,-6.8e-08,-1.0e-05,-2.8e-06,-9.0e-06,-6.3e-06,1.8e-05,1.1e-05,3.1e-06,-9.9e-07,-1.5e-06,-3.4e-06,4.6e-09,1.7e-10
0.91,4.20,7.14,6.06,3.8e-06,-1.0e-05,-9.8e-05,-7.6e-05,-1.0e-04,1.7e-06,7.7e-06,-2.2e-06,2.0e-05,-4.0e-05,-4.7e-07,6.7e-07,2.9e-06,2.2e-07,1.4e-05,-5.1e-05,-2.7e-05,-8.8e-08,2.3e-06,5.3e-08,2.9e-06,-4.6e-08,-2.6e-05,-4.7e-06,-6.4e-06,-1.7e-05,2.8e-05,2.1e-05,2.9e-06,-1.7e-05,-6.0e-06,9.3e-06,4.4e-09,2.5e-10
1.36,8.15,3.49,1.41,1.4e-05,-4.8e-06,-1.4e-04,-2.3e-05,-1.1e-04,6.4e-06,2.0e-06,-5.7e-07,2.8e-05,-5.7e-05,-1.3e-06,-2.5e-05,1.5e-06,8.4e-07,-4.0e-07,-6.0e-06,-2.2e-05,-2.8e-07,6.4e-06,1.2e-07,-4.8e-06,-1.2e-07,-2.2e-05,-1.6e-05,-1.7e-05,-1.1e-05,2.0e-05,-5.5e-05,3.5e-06,-6.5e-05,-1.1e-06,-8.6e-05,9.0e-09,5.5e-10
0.52,0.95,4.63,8.23,5.4e-05,-1.9e-05,-1.3e-03,-1.3e-03,-5.6e-04,9.0e-06,1.5e-04,-4.2e-05,3.1e-04,3.4e-05,5.6e-06,8.1e-05,7.6e-06,5.3e-07,2.7e-04,-4.1e-04,-3.6e-04,-4.3e-07,5.3e-06,2.2e-07,4.9e-05,-1.9e-07,-3.3e-04,-5.6e-05,-2.8e-05,-9.9e-05,1.5e-04,3.6e-04,7.3e-06,-3.2e-04,-6.7e-05,2.6e-04,2.6e-08,1.5e-09
0.94,1.49,3.21,1.24,3.9e-05,-4.2e-06,-6.2e-04,-5.4e-04,-2.7e-04,9.7e-06,6.1e-05,-1.7e-05,1.5e-04,-7.8e-06,4.8e-07,-2.5e-06,2.4e-06,1.2e-06,9.9e-05,-1.3e-04,-1.5e-04,-6.9e-07,1.0e-05,3.8e-07,1.1e-05,-2.8e-07,-1.4e-04,-4.1e-05,-2.9e-05,-3.7e-05,1.2e-04,5.0e-05,4.7e-06,-2.1e-04,-2.3e-05,-1.3e-05,1.7e-07,1.7e-09
1.13,4.62,7.31,4.61,3.7e-06,-6.6e-06,-8.3e-05,-6.1e-05,-7.4e-05,1.6e-06,6.3e-06,-1.8e-06,1.7e-05,-2.8e-05,-3.3e-07,-3.6e-07,1.9e-06,2.2e-07,1.1e-05,-3.5e-05,-2.2e-05,-8.6e-08,2.1e-06,5.1e-08,2.0e-06,-4.3e-08,-2.2e-05,-4.4e-06,-5.8e-06,-1.1e-05,2.4e-05,1.4e-05,2.2e-06,-1.7e-05,-4.9e-06,3.3e-06,5.6e-09,2.9e-10
1.24,3.86,5.63,1.88,1.1e-05,-5.1e-06,-1.2e-04,-8.4e-05,-8.4e-05,2.8e-06,9.0e-06,-2.6e-06,2.7e-05,-2.6e-05,-3.6e-07,-3.9e-06,1.5e-06,4.0e-07,1.6e-05,-3.2e-05,-3.2e-05,-1.6e-07,3.5e-06,9.2e-08,2.2e-06,-7.1e-08,-3.4e-05,-1.2e-05,-9.6e-06,-1.3e-05,3.4e-05,-1.3e-05,2.4e-06,-5.6e-05,-6.3e-06,-3.0e-05,1.9e-08,5.5e-10
1.05,5.26,6.65,3.29,4.4e-06,-7.8e-06,-7.8e-05,-5.0e-05,-8.1e-05,1.9e-06,4.9e-06,-1.4e-06,1.6e-05,-3.5e-05,-5.2e-07,-3.7e-06,2.2e-06,2.7e-07,7.7e-06,-3.3e-05,-2.0e-05,-9.8e-08,2.6e-06,5.6e-08,1.1e-06,-4.7e-08,-1.9e-05,-5.3e-06,-6.9e-06,-1.2e-05,2.3e-05,4.2e-06,2.6e-06,-2.0e-05,-3.7e-06,-7.2e-06,5.1e-09,2.8e-10
1.02,4.83,1.24,7.55,1.8e-05,-8.3e-06,-9.8e-04,-6.0e-05,-6.7e-04,4.8e-05,5.8e-06,-1.6e-06,1.7e-04,-3.3e-04,-7.6e-06,-1.3e-04,2.9e-06,4.4e-06,2.6e-07,8.6e-06,-9.8e-05,-1.5e-06,2.5e-05,5.2e-07,-2.9e-05,-6.2e-07,-3.7e-05,-2.0e-05,-6.3e-05,1.7e-06,6.9e-05,9.5e-05,8.3e-06,6.7e-05,-3.8e-06,-9.1e-05,6.3e-08,3.5e-10
1.30,8.19,1.77,7.40,8.6e-06,-5.3e-06,-4.8e-04,-2.3e-05,-3.3e-04,2.4e-05,2.0e-06,-5.7e-07,8.2e-05,-1.7e-04,-3.8e-06,-6.9e-05,1.8e-06,2.3e-06,-3.3e-06,6.6e-06,-4.9e-05,-7.3e-07,1.4e-05,2.6e-07,-1.6e-05,-3.1e-07,-1.6e-05,-1.0e-05,-3.5e-05,7.7e-07,2.5e-05,4.6e-05,5.2e-06,3.6e-05,-9.0e-07,-4.8e-05,1.5e-08,2.6e-10
1.18,2.28,4.72,1.43,2.2e-05,-4.0e-06,-2.7e-04,-2.3e-04,-1.3e-04,4.5e-06,2.6e-05,-7.3e-06,6.5e-05,-1.2e-05,1.3e-07,-8.1e-07,1.6e-06,6.0e-07,4.6e-05,-6.3e-05,-7.3e-05,-3.0e-07,5.1e-06,1.7e-07,6.3e-06,-1.2e-07,-7.4e-05,-2.3e-05,-1.5e-05,-2.2e-05,6.0e-05,-4.3e-06,2.8e-06,-1.2e-04,-1.2e-05,-3.5e-05,6.3e-08,1.0e-09
0.78,5.80,2.56,2.44,8.9e-06,-1.5e-05,-2.6e-04,-4.8e-05,-2.4e-04,1.1e-05,4.0e-06,-1.1e-06,4.6e-05,-1.3e-04,-2.7e-06,-4.7e-05,4.3e-06,1.5e-06,-3.7e-06,-2.6e-05,-4.2e-05,-5.0e-07,1.3e-05,2.4e-07,-1.0e-05,-2.4e-07,-2.4e-05,-1.1e-05,-3.2e-05,-1.1e-05,3.8e-05,1.4e-05,8.9e-06,-6.0e-06,-1.5e-06,-4.1e-05,1.1e-08,4.1e-10
1.21,7.70,1.96,4.53,8.0e-06,-6.1e-06,-3.9e-04,-2.6e-05,-2.8e-04,1.9e-05,2.3e-06,-6.4e-07,6.8e-05,-1.5e-04,-3.4e-06,-6.2e-05,1.9e-06,2.0e-06,-3.4e-06,3.4e-06,-4.5e-05,-6.6e-07,1.4e-05,2.5e-07,-1.5e-05,-2.9e-07,-1.6e-05,-9.4e-06,-3.3e-05,-6.0e-07,2.7e-05,3.8e-05,5.7e-06,2.7e-05,-1.1e-06,-4.3e-05,1.5e-08,3.7e-10
1.20,7.75,2.09,8.97,6.4e-06,-6.2e-06,-3.5e-04,-2.6e-05,-2.5e-04,1.7e-05,2.2e-06,-6.3e-07,6.0e-05,-1.4e-04,-3.0e-06,-5.6e-05,1.9e-06,1.8e-06,-3.4e-06,1.5e-06,-4.2e-05,-6.0e-07,1.3e-05,2.4e-07,-1.3e-05,-2.7e-07,-1.5e-05,-7.6e-06,-3.1e-05,-3.7e-07,2.6e-05,4.0e-05,5.7e-06,2.8e-05,-1.1e-06,-3.2e-05,1.4e-08,2.1e-10
1.37,1.44,5.71,6.24,2.4e-05,1.8e-06,-5.5e-04,-5.7e-04,-1.9e-04,4.7e-06,6.5e-05,-1.8e-05,1.4e-04,5.5e-05,2.4e-06,1.2e-05,9.9e-07,3.7e-07,8.4e-05,-1.0e-04,-1.1e-04,-3.1e-07,3.0e-06,1.7e-07,9.5e-06,-1.2e-07,-8.8e-05,-2.5e-05,-1.3e-05,-2.6e-05,5.9e-05,1.1e-04,1.7e-06,-1.4e-04,-1.3e-05,7.2e-05,5.8e-08,1.4e-09
1.20,8.19,5.17,4.49,2.7e-06,-6.2e-06,-7.5e-05,-2.3e-05,-7.7e-05,2.9e-06,2.0e-06,-5.7e-07,1.3e-05,-4.0e-05,-7.6e-07,-1.1e-05,1.8e-06,4.0e-07,4.3e-07,-1.7e-05,-1.4e-05,-1.3e-07,3.6e-06,6.9e-08,-2.1e-06,-6.6e-08,-9.7e-06,-3.5e-06,-8.9e-06,-6.3e-06,1.6e-05,5.3e-06,3.0e-06,-4.7e-06,-1.1e-06,-9.0e-06,3.9e-09,2.1e-10
0.99,9.25,4.77,6.97,2.1e-06,-9.3e-06,-8.4e-05,-2.2e-05,-1.0e-04,3.3e-06,1.6e-06,-4.4e-07,1.4e-05,-5.6e-05,-1.0e-06,-1.5e-05,2.7e-06,4.6e-07,-2.2e-06,-2.4e-05,-1.4e-05,-1.5e-07,4.3e-06,7.7e-08,-3.1e-06,-7.6e-08,-8.7e-06,-3.1e-06,-1.1e-05,-9.2e-06,1.3e-05,9.7e-06,4.1e-06,1.8e-06,3.2e-07,-6.5e-06,2.2e-09,1.3e-10
