muTilde,mqt3,mut3,mdt3,cG,cW,cH,cHD,cHBox,cHB,cHW,cHWB,cHG,cuH_33,cdH_33,cHu_33,cHd_33,cHud_33,cHq1_33,cHq3_33,cuG_33,cdG_33,cuW_33,cdW_33,cuB_33,cdB_33,cuu_3333,cdd_3333,cqq1_3333,cqq3_3333,cqu1_3333,cqu8_3333,cqd1_3333,cqd8_3333,cud1_3333,cud8_3333,cquqd1_3333,cquqd8_3333
1.48,5.93,7.36,8.32,2.1e-06,-3.8e-06,-6.0e-05,-3.7e-05,-5.0e-05,1.5e-06,3.8e-06,-1.1e-06,1.2e-05,-2.0e-05,-3.0e-07,-2.3e-06,1.1e-06,2.0e-07,6.4e-06,-1.8e-05,-1.5e-05,-7.9e-08,1.9e-06,4.6e-08,5.3e-07,-4.1e-08,-1.3e-05,-2.5e-06,-4.9e-06,-5.3e-06,1.8e-05,1.2e-05,1.7e-06,-7.0e-06,-3.0e-06,3.1e-06,5.8e-09,2.2e-10
1.24,8.53,3.09,6.77,3.6e-06,-5.8e-06,-1.7e-04,-2.2e-05,-1.4e-04,7.8e-06,1.9e-06,-5.2e-07,2.9e-05,-7.5e-05,-1.6e-06,-2.9e-05,1.7e-06,9.7e-07,-2.2e-06,-5.9e-06,-2.4e-05,-3.2e-07,7.5e-06,1.4e-07,-7.0e-06,-1.5e-07,-1.0e-05,-4.4e-06,-1.8e-05,-2.3e-06,1.9e-05,2.0e-05,4.4e-06,1.1e-05,-8.7e-07,-1.5e-05,7.4e-09,2.1e-10
0.60,3.32,2.00,7.89,1.0e-05,-2.5e-05,-4.8e-04,-1.3e-04,-4.1e-04,1.9e-05,1.2e-05,-3.4e-06,8.5e-05,-2.1e-04,-4.3e-06,-6.7e-05,7.1e-06,2.5e-06,6.4e-06,-6.1e-05,-8.4e-05,-8.6e-07,2.1e-05,4.3e-07,-1.4e-05,-4.3e-07,-4.9e-05,-1.3e-05,-5.2e-05,-1.8e-05,1.0e-04,7.7e-05,1.5e-05,1.6e-05,-8.7e-06,-1.5e-05,3.7e-08,3.0e-10
0.85,5.84,7.99,5.73,2.5e-06,-1.2e-05,-6.5e-05,-4.5e-05,-9.8e-05,1.3e-06,3.9e-06,-1.1e-06,1.2e-05,-4.7e-05,-6.9e-07,-3.4e-06,3.4e-06,1.8e-07,5.4e-06,-4.9e-05,-1.6e-05,-6.4e-08,1.9e-06,3.7e-08,1.2e-06,-3.3e-08,-1.6e-05,-3.6e-06,-5.2e-06,-2.0e-05,1.7e-05,9.7e-06,2.9e-06,-1.0e-05,-2.1e-06,1.6e-06,1.8e-09,1.6e-10
0.56,2.26,3.27,7.79,1.2e-05,-2.6e-05,-3.7e-04,-2.6e-04,-3.2e-04,7.9e-06,2.6e-05,-7.4e-06,7.5e-05,-1.2e-04,-1.6e-06,-4.8e-06,7.5e-06,1.0e-06,4.6e-05,-1.4e-04,-9.5e-05,-4.1e-07,9.7e-06,2.4e-07,6.5e-06,-2.2e-07,-8.6e-05,-1.4e-05,-2.7e-05,-4.0e-05,1.1e-04,8.7e-05,1.0e-05,-4.2e-05,-2.1e-05,3.9e-05,2.8e-08,4.5e-10
1.36,9.14,6.27,8.87,1.5e-06,-4.8e-06,-5.4e-05,-1.8e-05,-5.7e-05,1.9e-06,1.6e-06,-4.6e-07,9.5e-06,-2.9e-05,-5.4e-07,-7.4e-06,1.4e-06,2.7e-07,6.2e-07,-1.4e-05,-1.0e-05,-9.0e-08,2.5e-06,4.8e-08,-1.3e-06,-4.6e-08,-6.9e-06,-2.0e-06,-6.2e-06,-4.9e-06,1.2e-05,7.4e-06,2.2e-06,-6.3e-07,-8.9e-07,-2.3e-06,2.7e-09,1.4e-10
1.40,2.54,5.60,9.25,8.3e-06,-2.6e-06,-2.1e-04,-1.9e-04,-1.0e-04,3.1e-06,2.1e-05,-5.9e-06,4.9e-05,-8.9e-06,2.0e-07,3.0e-06,1.1e-06,3.6e-07,3.5e-05,-4.9e-05,-5.4e-05,-2.1e-07,3.0e-06,1.2e-07,4.4e-06,-9.5e-08,-4.7e-05,-8.6e-06,-9.1e-06,-1.0e-05,4.6e-05,5.2e-05,2.0e-06,-4.1e-05,-9.2e-06,3.1e-05,3.5e-08,6.6e-10
0.61,8.44,3.07,9.36,3.4e-06,-2.4e-05,-1.9e-04,-3.8e-05,-2.5e-04,7.9e-06,1.9e-06,-5.3e-07,3.0e-05,-1.4e-04,-2.7e-06,-4.2e-05,6.9e-06,1.1e-06,-1.1e-05,-5.8e-05,-2.7e-05,-3.4e-07,1.0e-05,1.7e-07,-9.1e-06,-1.8e-07,-1.5e-05,-5.9e-06,-2.6e-05,-2.4e-05,1.3e-05,2.4e-05,1.0e-05,1.4e-05,4.6e-06,-1.4e-05,2.0e-09,9.1e-11
0.82,8.82,5.59,3.27,3.5e-06,-1.4e-05,-7.3e-05,-2.7e-05,-1.2e-04,2.5e-06,1.7e-06,-4.9e-07,1.2e-05,-6.3e-05,-1.1e-06,-1.4e-05,3.9e-06,3.6e-07,-2.0e-06,-4.2e-05,-1.2e-05,-1.2e-07,3.6e-06,6.3e-08,-1.9e-06,-5.6e-08,-1.2e-05,-5.1e-06,-9.3e-06,-1.8e-05,1.2e-05,-2.7e-06,4.2e-06,-1.1e-05,1.4e-06,-1.6e-05,1.4e-09,1.6e-10
1.03,6.79,3.32,5.45,3.9e-06,-8.4e-06,-1.6e-04,-3.3e-05,-1.4e-04,6.8e-06,2.9e-06,-8.3e-07,2.8e-05,-7.6e-05,-1.6e-06,-2.6e-05,2.4e-06,9.0e-07,-8.0e-07,-1.6e-05,-2.6e-05,-3.0e-07,7.6e-06,1.5e-07,-5.9e-06,-1.5e-07,-1.4e-05,-5.0e-06,-1.9e-05,-5.7e-06,2.7e-05,2.0e-05,5.2e-06,5.0e-06,-1.6e-06,-1.3e-05,8.7e-09,2.4e-10
